abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Diplom HF;HOEHERE_FACHSCHULE;Höhere Fachschule Holz Biel;
Eidg. Fachausweis (Berufsprüfung BP);HOEHERE_FACHSCHULE;Höhere Fachschule Holz Biel;
Diplom HF;HOEHERE_FACHSCHULE;Hotelfachschule Thun;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BERUFSFACHSCHULEN;INFORAMA Rütti Zollikofen;
Berufsmaturität 2;BERUFSFACHSCHULEN;INFORAMA Rütti Zollikofen;
Diplom HF;HOEHERE_FACHSCHULE;INFORAMA Rütti Zollikofen;
10. Schuljahr;BRUECKENANGEBOT;Invers, Schule für Gestaltung, Bern;
Vorkurs;BRUECKENANGEBOT;Invers, Schule für Gestaltung, Bern;BERUFLICHE_GRUNDBILDUNG
Diplom HF;HOEHERE_FACHSCHULE;IST Höhere Fachschule für Tourismus Zürich;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;JUVESO;BERUFLICHE_GRUNDBILDUNG
Vorlehre;BRUECKENANGEBOT;Kantonale Gartenbauschule Oeschberg;BERUFLICHE_GRUNDBILDUNG
